iter	Passed	Remaining
344	536	1018
345	537	1015
346	538	1012
347	539	1010
348	539	1007
349	540	1004
350	541	1001
351	542	998
352	543	995
353	544	993
354	545	990
355	545	987
356	546	984
357	547	982
358	548	979
359	549	977
360	550	975
361	551	972
362	552	970
363	553	967
364	554	964
365	555	962
366	556	959
367	557	957
368	558	954
369	559	952
370	560	949
371	561	947
372	561	944
373	562	942
374	563	939
375	565	937
376	566	935
377	566	932
378	567	930
379	568	927
380	569	925
381	570	922
382	571	920
383	571	917
384	572	915
385	573	912
386	574	910
387	575	907
388	576	905
389	577	902
390	578	900
391	579	898
392	580	897
393	581	894
394	582	892
395	583	890
396	584	887
397	585	885
398	586	883
399	587	881
400	588	878
401	589	876
402	590	874
403	590	871
404	591	869
405	592	867
406	593	865
407	594	862
408	595	860
409	596	858
410	597	856
411	598	853
412	599	851
413	600	849
414	601	847
415	601	845
416	602	843
417	603	840
418	604	838
419	605	836
420	606	834
421	607	832
422	608	830
423	609	828
424	610	826
425	611	823
426	612	821
427	613	819
428	613	817
429	614	815
430	615	813
431	616	810
432	617	809
433	618	806
434	619	804
435	620	802
436	621	800
437	622	798
438	623	796
439	624	794
440	625	792
441	626	790
442	627	788
443	627	786
444	628	784
445	629	782
446	630	780
447	631	778
448	632	776
449	633	773
450	634	771
451	634	769
452	635	767
453	636	765
454	637	763
455	638	761
456	639	759
457	640	757
458	640	755
459	641	753
460	642	751
461	643	749
462	644	747
463	645	745
464	646	743
465	646	741
466	647	739
467	648	737
468	649	734
469	649	732
470	650	730
471	651	728
472	652	726
473	653	724
474	653	722
475	655	721
476	655	719
477	656	717
478	657	715
479	688	745
480	689	743
481	690	741
482	691	740
483	692	738
484	693	736
485	694	734
486	695	732
487	696	730
488	697	728
489	698	726
490	699	724
491	700	722
492	700	720
493	701	718
494	702	717
495	703	715
496	704	713
497	705	711
498	706	709
499	707	707
500	708	705
501	708	703
502	709	701
503	710	699
504	711	697
505	711	695
506	712	693
507	713	691
508	714	689
509	715	687
510	716	685
511	717	683
512	718	682
513	719	680
514	720	678
515	721	676
516	722	675
517	723	673
518	724	671
519	724	669
520	725	667
521	726	665
522	727	663
523	728	661
524	729	659
525	730	657
526	731	656
527	732	654
528	733	653
529	734	651
530	734	649
531	735	647
532	736	645
533	737	643
534	738	641
535	739	639
536	739	637
537	740	636
538	741	634
539	742	632
540	743	630
541	744	628
542	745	627
543	746	625
544	747	623
545	748	622
546	749	620
547	749	618
548	750	616
549	751	614
550	752	613
551	753	611
552	754	609
553	755	607
554	756	606
555	756	604
556	757	602
557	758	600
558	759	599
559	760	597
560	761	595
561	762	594
562	763	592
563	764	590
564	764	588
565	765	587
566	766	585
567	767	583
568	768	582
569	769	580
570	770	578
571	771	577
572	772	575
573	773	574
574	774	572
575	775	570
576	776	568
577	777	567
578	778	565
579	778	564
580	779	562
581	780	560
582	781	558
583	782	557
584	783	555
585	783	553
586	784	552
587	785	550
588	786	548
589	787	547
590	788	545
591	788	543
592	789	542
593	790	540
594	791	538
595	792	537
596	793	535
597	794	534
598	795	532
599	796	530
600	797	529
601	798	527
602	799	526
603	799	524
604	800	522
605	801	521
606	802	519
607	803	517
608	804	516
609	804	514
610	805	513
611	806	511
612	807	510
613	808	508
614	809	507
615	810	505
616	811	503
617	812	502
618	813	500
619	814	499
620	815	497
621	815	495
622	816	494
623	817	492
624	818	491
625	819	489
626	820	488
627	821	486
628	822	484
629	823	483
630	823	481
631	824	480
632	825	478
633	826	477
634	827	475
635	828	474
636	829	472
637	830	471
638	831	469
639	831	467
640	832	466
641	833	464
642	834	463
643	835	461
644	836	460
645	837	458
646	838	457
647	838	455
648	839	454
649	840	452
650	841	451
651	842	449
652	843	448
653	844	446
654	845	445
655	846	443
656	847	442
657	847	440
658	848	439
659	849	437
660	850	436
661	851	434
662	852	433
663	853	431
664	854	430
665	855	428
666	855	427
667	856	425
668	857	424
669	858	422
670	859	421
671	860	419
672	861	418
673	862	416
674	862	415
675	863	413
676	864	412
677	865	411
678	866	409
679	867	408
680	868	406
681	869	405
682	869	403
683	870	402
684	871	400
685	872	399
686	873	397
687	873	396
688	874	394
689	875	393
690	876	391
691	877	390
692	878	389
693	879	387
694	879	386
695	880	384
696	881	383
697	882	381
698	883	380
699	884	379
700	885	377
701	886	376
702	886	374
703	887	373
704	888	371
705	889	370
706	890	369
707	891	367
708	891	366
709	892	364
710	893	363
711	894	361
712	895	360
713	896	359
714	897	357
715	898	356
716	899	355
717	900	353
718	901	352
719	902	350
720	903	349
721	903	348
722	904	346
723	905	345
724	906	343
725	907	342
726	908	340
727	908	339
728	909	338
729	911	337
730	912	335
731	912	334
732	913	332
733	914	331
734	915	330
735	916	328
736	917	327
737	917	325
738	918	324
739	919	323
740	920	321
741	921	320
742	921	318
743	922	317
744	923	316
745	924	314
746	925	313
747	926	312
748	927	310
749	928	309
750	929	308
751	929	306
752	930	305
753	931	303
754	932	302
755	933	301
756	934	299
757	934	298
758	935	297
759	936	295
760	937	294
761	938	292
762	938	291
763	939	290
764	940	288
765	941	287
766	942	286
767	943	284
768	943	283
769	944	282
770	945	280
771	946	279
772	947	278
773	947	276
774	948	275
775	949	274
776	950	272
777	951	271
778	951	270
779	952	268
780	953	267
781	954	266
782	955	264
783	956	263
784	957	262
785	958	260
786	958	259
787	959	258
788	960	256
789	961	255
790	962	254
791	963	252
792	964	251
793	964	250
794	965	249
795	966	247
796	967	246
797	968	245
798	968	243
799	969	242
800	971	241
801	972	239
802	972	238
803	973	237
804	974	236
805	975	234
806	975	233
807	976	232
808	977	230
809	978	229
810	979	228
811	980	226
812	980	225
813	981	224
814	982	223
815	983	221
816	984	220
817	984	219
818	985	217
819	986	216
820	987	215
821	988	214
822	989	212
823	990	211
824	991	210
825	991	208
826	992	207
827	993	206
828	994	205
829	995	203
830	995	202
831	996	201
832	997	199
833	998	198
834	999	197
835	1000	196
836	1001	194
837	1001	193
838	1002	192
839	1003	191
840	1004	189
841	1005	188
842	1006	187
843	1006	186
844	1007	184
845	1008	183
846	1009	182
847	1010	181
848	1010	179
849	1011	178
850	1012	177
851	1013	176
852	1014	174
853	1015	173
854	1016	172
855	1017	171
856	1018	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1023	161
864	1024	159
865	1025	158
866	1026	157
867	1027	156
868	1027	154
869	1028	153
870	1029	152
871	1030	151
872	1031	150
873	1032	148
874	1033	147
875	1034	146
876	1035	145
877	1035	143
878	1036	142
879	1037	141
880	1038	140
881	1039	139
882	1040	137
883	1041	136
884	1042	135
885	1042	134
886	1043	132
887	1044	131
888	1045	130
889	1047	129
890	1047	128
891	1048	126
892	1049	125
893	1050	124
894	1051	123
895	1052	122
896	1053	120
897	1053	119
898	1054	118
899	1055	117
900	1056	116
901	1057	114
902	1058	113
903	1058	112
904	1059	111
905	1060	110
906	1061	108
907	1062	107
908	1063	106
909	1064	105
910	1064	104
911	1065	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1069	96
917	1070	95
918	1071	94
919	1072	93
920	1073	92
921	1073	90
922	1074	89
923	1075	88
924	1076	87
925	1077	86
926	1078	84
927	1079	83
928	1080	82
929	1081	81
930	1081	80
931	1082	78
932	1083	77
933	1084	76
934	1085	75
935	1085	74
936	1086	73
937	1087	71
938	1088	70
939	1089	69
940	1090	68
941	1091	67
942	1092	66
943	1093	64
944	1093	63
945	1094	62
946	1095	61
947	1096	60
948	1097	58
949	1098	57
950	1098	56
951	1099	55
952	1100	54
953	1101	53
954	1102	51
955	1103	50
956	1104	49
957	1104	48
958	1105	47
959	1106	46
960	1107	44
961	1108	43
962	1109	42
963	1110	41
964	1111	40
965	1112	39
966	1112	37
967	1113	36
968	1114	35
969	1115	34
970	1116	33
971	1117	32
972	1117	31
973	1118	29
974	1119	28
975	1120	27
976	1121	26
977	1122	25
978	1123	24
979	1124	22
980	1125	21
981	1125	20
982	1126	19
983	1127	18
984	1128	17
985	1129	16
986	1129	14
987	1130	13
988	1131	12
989	1132	11
990	1133	10
991	1133	9
992	1134	7
993	1135	6
994	1136	5
995	1137	4
996	1138	3
997	1139	2
998	1140	1
999	1140	0
